bin_index,bin_id,city,area_type,land_use_subtype,neighborhood,bin_volume_liter,nominal_mass_capacity_kg,latitude,longitude,placement,nearby_business_type,nearby_poi_type,population_density,catchment_population_equivalent,income_band,per_capita_waste_kg_day,bin_capture_fraction,density_load_multiplier,baseline_generation_kg_per_hour,road_accessibility,collection_service_level,collection_interval_hours,informal_recovery_rate,collection_threshold_percent,battery_drain_percent_per_hour,friday_prayer_multiplier,eid_day_multiplier,base_composition_percent
82,DH-00083,Dhaka,Commercial,Mixed Commercial,Old Dhaka,660.0,118.8,23.710546,90.399414,Near market,Office,None,Medium,78,NA,,,1.0,0.74855036,Easy,Good,5,0.097737625,80.0,0.028446602,4.65996,1.0,30.000002;3.000000;1.000000;25.000000;17.000000;8.000000;6.000000;10.000000
83,DH-00084,Dhaka,Residential,Apartment Residential,Motijheel,360.0,64.8,23.727474,90.428406,Roadside,None,Mosque,Medium,85,Middle,0.37768224,0.37803045,1.0,0.48366907,Moderate,Moderate,6,0.1399373,80.0,0.03441349,4.393894,4.9903445,45.000000;5.000000;1.000000;18.000000;12.000000;5.000000;4.000000;10.000000
84,DH-00085,Dhaka,Office,Government Office,Old Dhaka,240.0,43.2,23.71176,90.4207,Roadside,Office,Mosque,Medium,150,NA,,,1.0,0.7224485,Easy,Moderate,8,0.15425994,80.0,0.034833673,4.170467,1.0,22.000000;2.000000;1.000000;18.000000;30.000002;5.000000;5.000000;17.000000
85,DH-00086,Dhaka,Recreation,Park,Gulshan/Banani,240.0,43.2,23.797071,90.41099,Park,Market,Park,High,345,NA,,,1.15,1.1932096,Moderate,Moderate,8,0.07169076,75.0,0.021148523,4.8579597,1.4835418,30.000004;1.000000;1.000000;35.000004;15.000002;2.000000;4.000000;12.000000
86,DH-00087,Dhaka,Education,School,Dhanmondi,360.0,64.8,23.751091,90.3703,Roadside,None,School,Low,44,NA,,,0.85,0.28204155,Moderate,Limited,10,0.1477624,85.0,0.032380767,3.3522198,1.0,25.000000;2.000000;1.000000;20.000000;32.000000;3.000000;3.000000;14.000000
87,DH-00088,Dhaka,Residential,Apartment Residential,Old Dhaka,660.0,118.8,23.701086,90.40875,Indoor,Restaurant,None,Medium,72,Middle,0.3214788,0.60590816,1.0,0.5775928,Moderate,Moderate,6,0.1101635,80.0,0.025537921,4.1528378,6.110727,45.000000;5.000000;1.000000;18.000000;12.000000;5.000000;4.000000;10.000000
88,DH-00089,Dhaka,Commercial,Mixed Commercial,Mirpur,360.0,64.8,23.804901,90.3688,Near market,Market,Mosque,Low,27,NA,,,0.85,0.44631374,Easy,Good,5,0.18880683,85.0,0.034547195,4.45417,1.0,30.000002;3.000000;1.000000;25.000000;17.000000;8.000000;6.000000;10.000000
89,DH-00090,Dhaka,Slum,Informal Settlement,Motijheel,360.0,64.8,23.730658,90.41665,Near market,Market,None,High,331,Low,0.23237702,0.37006694,1.15,1.1865286,Difficult,Limited,8,0.1544077,72.0,0.025068207,4.1730647,4.849194,55.000000;6.000000;1.000000;12.000000;8.000000;6.000000;3.000000;9.000000
90,DH-00091,Dhaka,Residential,Dense Residential,Old Dhaka,360.0,64.8,23.720676,90.406364,Roadside,Restaurant,School,High,279,High,0.506875,0.638736,1.15,4.757982,Easy,Good,5,0.11127787,75.0,0.02269898,4.111425,4.2056913,50.000000;5.000000;1.000000;16.000000;10.000000;5.000000;3.000000;10.000000
91,DH-00092,Dhaka,Office,Private Office,Old Dhaka,660.0,118.8,23.705322,90.38899,Roadside,Restaurant,Office,Medium,117,NA,,,1.0,0.5781974,Moderate,Moderate,8,0.16733503,80.0,0.031523757,4.037859,1.0,22.000000;2.000000;1.000000;18.000000;30.000002;5.000000;5.000000;17.000000
92,DH-00093,Dhaka,Office,Government Office,Gulshan/Banani,660.0,118.8,23.795277,90.422585,Roadside,Restaurant,Office,Medium,97,NA,,,1.0,0.50868833,Moderate,Moderate,8,0.11670814,80.0,0.027557164,4.9597282,1.0,22.000000;2.000000;1.000000;18.000000;30.000002;5.000000;5.000000;17.000000
93,DH-00094,Dhaka,Office,Government Office,Dhanmondi,360.0,64.8,23.740818,90.37263,Office,Restaurant,None,Medium,140,NA,,,1.0,0.5942999,Easy,Good,7,0.12503614,80.0,0.018953307,3.023303,1.0,22.000000;2.000000;1.000000;18.000000;30.000002;5.000000;5.000000;17.000000
94,DH-00095,Dhaka,Market,General Market,Mirpur,1100.0,198.00002,23.800655,90.37441,Near market,Restaurant,Mosque,Low,83,NA,,,0.85,0.9100248,Easy,Good,4,0.05940492,75.0,0.02751638,4.551556,2.6602545,35.000000;5.000000;1.000000;20.000000;12.000000;6.000000;7.000000;14.000000
95,DH-00096,Dhaka,Education,College/University,Motijheel,660.0,118.8,23.742468,90.412674,School,Market,School,Medium,145,NA,,,1.0,0.8738682,Easy,Good,7,0.09730261,80.0,0.033422202,3.1575058,1.0,30.000002;2.000000;1.000000;22.000000;25.000000;4.000000;4.000000;12.000000
96,DH-00097,Dhaka,Residential,Apartment Residential,Gulshan/Banani,360.0,64.8,23.803211,90.412186,Roadside,None,Market,Medium,111,Lower-middle,0.31786343,0.38245124,1.0,0.5924086,Moderate,Moderate,6,0.071606226,80.0,0.024064988,3.0573933,4.6746893,45.000000;5.000000;1.000000;18.000000;12.000000;5.000000;4.000000;10.000000
97,DH-00098,Dhaka,Residential,Apartment Residential,Gulshan/Banani,240.0,43.2,23.805752,90.42921,Indoor,None,None,Medium,151,Upper-middle,0.37916282,0.46983236,1.0,0.84728557,Easy,Good,5,0.05530897,80.0,0.019394629,4.782607,4.8655906,45.000000;5.000000;1.000000;18.000000;12.000000;5.000000;4.000000;10.000000
98,DH-00099,Dhaka,Commercial,Restaurant/Food Zone,Gulshan/Banani,1100.0,198.00002,23.786879,90.390236,Office,Restaurant,Market,Medium,199,NA,,,1.0,1.3788066,Easy,Good,5,0.19608547,80.0,0.030202257,3.3205664,1.3374864,55.000000;8.000000;1.000000;18.000000;8.000000;2.000000;3.000000;5.000000
99,DH-00100,Dhaka,Residential,Apartment Residential,Dhanmondi,660.0,118.8,23.737305,90.35806,Indoor,Restaurant,Market,Medium,109,Lower-middle,0.33906525,0.38461897,1.0,0.5869103,Easy,Moderate,6,0.078212336,80.0,0.031437825,3.2446609,6.576536,45.000000;5.000000;1.000000;18.000000;12.000000;5.000000;4.000000;10.000000
